#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 4080 vectors per frame, 102 vectors per chain, 40 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 1
74 0.017626608 0.0010033289 -0.0270164 1.27593 -0.00828236 0.0266428 -0.00073384 0.107087 0.111294 0.115128 0.00114847 -0.000104075 -0.000797222
75 0.021651715 -0.0088259528 -0.00599053 1.29644 0.00373362 0.011297 0.00662109 0.100418 0.114546 0.114182 0.00439072 -0.00160106 -0.00363772
76 0.00026801957 -0.0068946978 -0.0411299 1.32966 -0.00607845 0.0114062 -0.00505971 0.10643 0.113527 0.114708 -0.00705071 0.00426591 -0.000178968
77 0.0022982306 0.00024826252 -0.0769619 1.37269 -0.010108 0.0101527 0.00225351 0.104409 0.113182 0.116493 0.0019404 -0.00321243 0.000979439
78 0.00022354273 0.0030292451 -0.122724 1.27317 0.00206207 0.000320525 -0.00215906 0.107009 0.111091 0.115093 -0.00111342 0.00041277 0.00178037
79 -0.01804631 0.0038384521 -0.120912 1.25266 -0.00710443 -0.0153038 0.00436188 0.101325 0.117226 0.117393 0.00196688 0.00114086 -0.00313364
80 -0.026902334 0.020439257 -0.126052 1.24626 -0.00526325 -0.0105228 -0.0111163 0.108794 0.119207 0.117869 -0.00118611 0.00181796 -8.73398e-05
81 -0.0060306761 0.00067653343 -0.114823 1.37081 -0.01194 -0.00373034 0.00963967 0.100092 0.114038 0.118663 -0.00084606 0.00513463 -0.00379257
82 -0.015891977 0.025327044 -0.180926 1.3519 -0.0122058 -0.00273491 -0.000951241 0.10871 0.114694 0.117079 -0.00162599 3.42692e-05 0.00645891
83 0.0002546117 -0.013640376 -0.151286 1.32387 -0.00356088 0.00660549 -0.00279 0.0992638 0.109348 0.115003 0.00100056 0.000819571 -0.00150767
84 0.0069124897 0.035933787 -0.182535 1.26966 -0.0039345 0.0206554 -0.00980839 0.110745 0.114307 0.118539 0.0011061 -0.000399107 0.0061427
85 0.00054580411 0.0034427735 -0.200426 1.29125 -0.010838 0.0115964 -0.000212644 0.105247 0.112605 0.113283 0.00254524 -0.000527772 0.000229718
86 0.012583739 0.0065177227 -0.0679276 1.28686 -0.00711928 0.00592603 0.013777 0.103874 0.12419 0.117641 -0.00479618 0.00264824 -0.0018656
87 0.0072014127 -0.050099179 -0.11639 1.23846 -0.00454457 0.00663344 0.00511254 0.102947 0.112291 0.111553 -0.000388031 -0.0064523 -0.00658847
88 0.0016545132 0.027959053 -0.0487405 1.42644 0.0032813 0.0115386 -0.0131654 0.102718 0.114139 0.114038 0.000518701 0.00515994 0.00486023
89 -0.029979254 0.022522621 -0.0353729 1.26152 -0.00810802 0.00754934 -0.0294206 0.111298 0.113978 0.118964 0.00978389 -0.00521795 -0.00251193
90 0.00726088 0.03306026 -0.0554036 1.28477 0.00444243 0.0185474 -0.0157289 0.113217 0.116382 0.113264 -0.000216144 0.00274658 0.00372442
91 0.023118814 -0.0059968236 0.00693754 1.34123 0.00999103 0.0169043 -0.00377656 0.104241 0.115798 0.114054 -0.00273656 -0.000256624 0.00061468
92 0.027501861 0.038114843 -0.00531267 1.36271 -0.0080865 0.0350647 0.000523668 0.116296 0.115456 0.121594 -0.00118657 0.00193386 0.00195169
93 0.046730669 -0.0020385053 0.0217728 1.24506 0.0245414 0.0428783 -0.020689 0.106292 0.120998 0.10813 0.00226556 0.00124168 -0.00522954
94 0.00031171502 0.064109598 0.113429 1.39411 -0.00142846 0.0235472 -0.021807 0.113279 0.125931 0.112361 0.00624159 0.0013814 0.00462834
95 -0.017201357 -0.02399017 0.267273 1.19308 -0.00736549 0.0278733 -0.0377092 0.0983809 0.11232 0.111061 0.00429261 -0.00355815 -0.00294552
96 -0.005978112 0.037421416 0.201495 1.40121 -0.0138142 0.0127601 -0.00492401 0.109936 0.116902 0.120347 -0.00700544 0.00548625 0.00706706
97 -0.011250261 -0.048637122 0.217011 1.25387 -0.0127584 -0.00658331 0.00809141 0.0904012 0.112195 0.102691 0.000561574 0.00288845 -0.00563905
98 -0.052565831 0.036693871 0.226081 1.45019 -0.0309036 0.000698399 -0.0223607 0.116747 0.109825 0.105746 0.0100076 -0.00608252 0.00881368
99 -0.049686118 -0.025591551 0.298785 1.26587 -0.00766553 -0.035867 -0.00615362 0.101858 0.11756 0.111641 -0.0147032 0.00599958 0.00131012
100 -0.093054612 0.050277472 -0.0663285 1.65796 -0.035184 -0.0374174 -0.0204532 0.0913124 0.111605 0.131381 0.0263242 -0.00982679 -0.000220606
101 -0.029120553 0.040725578 0.259225 0.980663 -0.0277246 0.00825021 -0.00964614 0.0923707 0.0637337 0.21234 -0.0142804 -0.00925856 0.0195588
